Movie,Cast,Release_year
Sarfarosh,"Sabiha Khanum, Santosh Kumar, Meena Shorey, Naeem Hashmi, Asif Jah, Ghulam Mohammad",1956
Shalimar,"Rehana, Sudhir, Shola, Nazar",1956
Shikar,"Safia Din, Rushdi, Ayyaz",1956
Soteli Maa,"Swaran Lata, Nazir, Nazar, Masood",1956
Wehshi,"Rehana, Afzal Nazir, Zarif",1956
Aankh ka Nasha,"Sabiha Khanum, Musarrat Nazir, Neelo, Sudhir",1957
Aas Paas,"Sabiha Khanum, Aslam Pervaiz, Yasmeen, Nighat, Allauddin",1957
Anjaam,"Yasmeen, Ilyas, Neelo, Rukshi, Shaikh Iqbal",1957
Baap Ka Gunaah,"Musarrat Nazir, Darpan, Salim Raza, Asif Jah",1957
Bada Admi,"Meena Shorey, Ejaz Durrani, M. Ismail, Allauddin",1957
Bedari,"Ragni, Santosh Kumar, Ratan Kumar, Anoradha",1957
Daata,"Sabiha Khanum, Sudhir, Diljit, G. Mohammad",1957
Ishq-e-Laila,"Sabiha Khanum, Santosh Kumar, Ajmal, Allauddin",1957
Laila Majnu,"Bahar, Aslam Pervaiz, Ilyas, Shola",1957
Masoom,"Yasmeen, Habib, Ratan Kumar, M. Ismail",1957
Maska Polish,"Anuradha, Ayyaz, Azad, Sharara, Agha Jan",1957
Muraad,"Yasmeen, Ilyas Kashmiri, Kamal, Nighat Sultana",1957
Nigar,"Shahina, Ammaan, M. Ismail, Naeem Hashmi",1957
Noor-e-Islam,"Swaran Lata, Darpan, Nazir, Nazar",1957
Pasban,"Sabiha Khanum, Aslam Pervaiz, Asha Posley, Ghulam Mohammed",1957
Pholay Khan,"Sabiha Khanum, Aslam Pervaiz, Diljit, Neelo",1957
Saat Lakh,"Sabiha Khanum, Santosh Kumar, Nayyar Sultana, Talish, Neelo",1957
Sardar,"Sabiha Khanum, Santosh Kumar, Ilyas, Nayyar Sultana, Nazar",1957
Seestan,"Musarrat Nazir, Shaad, Ajmal, Asha Posley, Salim Raza",1957
Shohrat,"Nasreen, Habib, Ilyas, A. Shah",1957
Thandi Sadak,"Musarrat Nazir, Syed Kamal, Zarif, Nadira",1957
Waada,"Sabiha Khanum, Santosh Kumar, Ilyas Kashmiri, Laila, Allauddin",1957
Aadmi,"Nayyar Sultana, Habib, Talish, Yasmeen",1958
Akhari Dao,"Nayyar Sultana, Habib, Nazar, M. Ismail",1958
Akhari Nishan,"Meena Shorey, Sudhir, Neelo, Nazar, Allauddin",1958
Anarkali,"Noor Jehan, Sudhir, Shamim Ara, Ragni, Hamalia Wala",1958
Begunnah,"Nayyar Sultana, Anwar Baig, Butt Kashir",1958
