Movie,Cast,Release_year
Chhoti Si Duniya,"Laila, Habib, Zeenat, Allauddin",1965
Chori Chhuppe,"Rozina, Sethi, Mahmood Ali, Sharafat",1965
Devdas,"Shamim Ara, Habib, Nayyar Sultana, Talish",1965
Dil Ke Tukre,"Shamim Ara, Deeba, Mohammad Ali, Habib",1965
Doctor,"Bahar, Waheed Murad, Yasmeen, Jaffery",1965
Eid Mubarak,"Zeba, Waheed Murad, Habib, Rukhsana",1965
Faraib,"Neelo, Habib, Deeba, Rangeela",1965
Fashion,"Shamim Ara, Santosh Kumar, Habib",1965
Hazar Dastaan,"Rani, Mohammad Ali, Nazar, Adeeb",1965
Hum Matwaley Naujawan,"Deeba, Sultan, Naghma, Asad, Zeenat",1965
Ishq-e-Habib,"Talat Siddiqi, Ibrahim Nafees, Tarranum",1965
Kaise Kahun,"Shabnam, Khalil, Subhash Dutta, Mustafa",1965
Kajal,"Shabnam, Khalil, Subhash Dutta, Anwera",1965
Kalay Log,"Bahar, Habib, Amy, Kafira, Anwer Majeed",1965
Kaneez,"Sabiha Khanum, Waheed Murad, Mohammad Ali, Santosh Kumar, Zeba",1965
Khota Paisa,"Saloni, Mohammad Ali, Aaliya, Aslam Pervaiz",1965
Koh Qaf,"Laila, Darpan, Diljeet, Azad",1965
Mala,"Sultana Zaman, Azim, Irfan, Akbar",1965
Mujahid,"Mohammad Ali, Sabira, Sultana, Aslam Pervaiz, Deeba, Adeeb",1965
Naache Nagan Baje Been,"Rani, Mohammad Ali, Firdaus, Rangeela",1965
Naila,"Shamim Ara, Santosh Kumar, Darpan, Ragni",1965
Raqasa,"Neelo, Rukhsana, Talish, Yousuf",1965
Riwaaj,"Zeba, Mohammad Ali, Yasmeen, Farida",1965
Saagar,"Shabnam, Azim, Tarana, Subhash Dutta, Inam",1965
Saaz-o-Awaz,"Rani, Waheed Murad, Ragni, Rangeela",1965
Sanam,"Bahar, Mohammad Ali, Rani, Kamal, Kumar",1965
Sartaj,"Deeba, Kamaal, Aslam Pervaiz, Komal, Faizi",1965
Sat Rang,"Sultana Zaman, Haroon, Qazi Khaliq",1965
Shabnum,"Rani, Kamal, Mohammad Ali, Zeba, Lehri",1965
Tamasha,"Husna, Sultan, Panna, Nazar, Saqi",1965
Tere Shehar Mein,"Zeba, Allauddin, Ajmal, Farida",1965
Yeh Jehan Wale,"Deeba, Habib, Rani, Asad",1965
Zameen,"Deeba, Allauddin, Asad, Zeenat",1965
Aag Ka Darya,"Shamim Ara, Mohammed Ali, Lehri, Jaffrey, Saqi",1966
Adil,"Saloni, Mohammed Ali, Sabira Sultana, Razia, Adeeb",1966
Aina,"Deeba, Mohammed Ali, Kamal Irani, Zeenat",1966
Akele Na Jana,"Sofia, Hanif, Mohammed Ali, Rozina",1966
Al-Hilal,"Husna, Darpan, Yusuf, Zamarrud",1966
Armaan,"Zeba, Waheed Murad, Nirala, Rozina, Tarannum",1966
Azaadi Ya Mout,"Hanif, Sofia Bano, Rozina",1966
Badnaam,"Neelo, Ejaz Durrani, Allauddin, Nabila, Jaffrey",1966
Baghi Sardar,"Saloni, Mohammed Ali, Adeeb, Zahur Raja",1966
Begana,"Shabnam, Khalil, Nasima Khan, Mustafa",1966
Bhai Jaan,"Mohammed Ali, Rani, Asad, Zeenat",1966
Bhayia,"Chitra, Waheed Murad, Akbar, Anwer Hussain",1966
Dard-e-Dil,"Zeba, Kamal, Talat Siddiqui, Azad",1966
Ghar Ka Ujala,"Rani, Habib, Mohammed Ali, Firdaus, Saqi",1966
Ghar Ki Laaj,"Attiya, Naushad, Waris, Afshan",1966
Hamrahi,"Khalid, Hyder, Hina, M. Zareff, Santosh",1966
Honhaar,"Rukhsana, Waheed Murad, Shakil, Seema",1966
Hum Dono,"Deeba, Kamal, Nirala, Kumar, K. Irani",1966
Husn Ka Chor,"Deeba, Habib, Adeeb, Saqi",1966
Indhan,"Rahman, Reshma, Mustafa",1966
Inssan,"Rani, Sabira Sultana, Santosh, Allauddin",1966
Jaag Utha Insan,"Zeba, Mohammed Ali, Waheed Murad, K. Irani, Firdaus, Ibrahim Nafees",1966
Jalwah,"Shamim Ara, Rukhsana, Ejaz Durrani, Darpan",1966
Jan Baaz,"Shirin, Mohammed Ali, Saloni, Talish",1966
Joker,"Rani, Kamal, Zeba, Lehri, Talish",1966
Josh,"Zeba, Sudhir, Waheed Murad, Hanif, Rukhsana, Jaffery",1966
Koan Kissi Ka,"Kamal, Talat Siddiqi, Husna, Azad, Lehri",1966
Kohinoor,"Sudhir, Zeba, Allauddin, Saloni",1966
Lori,"Mohammed Ali, Zeba, Santosh, Saloni, Talat Siddiqui",1966
"Maa, Bahu Beta","Yasmeen, Husna, Santosh, Zamarrud",1966
Madare Watan,"Deeba, Mohammad Ali, Zeenat Begum, Naeem Hashmi",1966
Main Chup Rahongi,"Naghma, Habib, Asad, Seema",1966
Majboor,"Shamim Ara, Santosh, Husna, Jugno, Rehka",1966
Maujiza,"Deeba, Habib, Darpan, Talat Siddiqui",1966
Mera Salam,"Santosh, Sabira Sultana, Azad, baby Najma",1966
Mere Mehboob,"Shamim Ara, Darpan, Azad, Nazar, Rajni",1966
Misaal,"Yusuf, Hina, Hanif, Nabila",1966
Naghma-e-Sehra,"Neelo, Mohammed Ali, Sudhir, Allauddin, Saqi",1966
Parda,"Shamim Ara, Habib, Saqi, Gulrukh",1966
Parwana,"Nasima Khan, Hassan Imam, Sujata",1966
Payal Ki Jhankar,"Neelo, Darpan, Deeba, Nazar, Aslam Pervaiz",1966
Phir Milinge Hum Dono,"Nazneen, Mustafa, Subhash Dutta, Anwera",1966
Poonam Ki Raat,"Rosy, Akbar, Mehfouz, Sadhana",1966
Qabila,"Shamim Ara, Sudhir, Saloni, Tarana",1966
Ruswai,"Deeba, Habib, Talish, Lehri",1966
Sarhad,"Husna, Ejaz Durrani, Allauddin, Saloni",1966
Sawaal,"Sabiha, Santosh, Saloni, Ejaz Durrani",1966
Taqdeer,"Husna, Santosh, Lehri, Ragni",1966
Tasvir,"Sabiha, Santosh, Aslam Pervaiz, Talish",1966
Ujala,"Sultana Zaman, Hasan Imam, Nasima Khan",1966
Watan Ka Sipahi,"Mohammed Ali, Firdaus, Nanha, Sikander",1966
Woh Kon Thi,"Rani, Habib, Zeenat, Saqi, Nabila",1966
Aag,"Zeba, Mohammad Ali, Lehri, Tarranum, Talish",1967
Aaliya,"Shamim Ara, Kamal, M. Ismail, Rangeela",1967
Albela,"Kamal, Ghazala, Zeenat, Asliya",1967
Bahadur,"Musarrat Nazir, Darpan, Mohammad Ali, Lehri",1967
Bereham,"Rani, Santosh, Seema, Talish, Zulfi",1967
Burma Road,"Sabira Sultana, Habib, Sawan, Nazar, Shelley",1967
Chakori,"Nadeem, Shabana, Dear Asghar, Mirza Shahi",1967
Chattan,"Neelo, Sudhir, Aslam Pervaiz, Rangeela",1967
Chote Saheb,"Nadeem, Shabana, Dear Asghar, Sujata",1967
Darshan,"Shabnam, Rahman, Garaj Babu, Reshma",1967
Devar Bhabi,"Santosh Kumar, Rani, Waheed Murad, Sabiha, Lehri",1967
Dil Deewana,"Kamal, Deeba, Zeenat, Mehtab",1967
Doraha,"Deeba, Waheed Murad, Shamim Ara, Nirala",1967
Dost Dushman,"Deeba, Ejaz, Talish, Saqi",1967
Ehsaan,"Waheed Murad, Zeba, Nirala, Rozina",1967
Eilaan,"Saloni, Allaudin, Sabira Sultana, Adeeb",1967
Fantoosh,"Rozina, Nihal, Maqsood, Rashid",1967
Gunah Gaar,"Husna, Ejaz Durrani, Saloni, Allauddin",1967
Hamdam,"Rehana Siddiqui, Khalil, Akbar, Rukhsana",1967
Hatim Tai,"Saloni, Mohammad Ali, Rukhsana, Yousuf",1967
Hokomat,"Rani, Sudhir, Ilyas Kashmiri, Talat Siddiqui",1967
Insaniyat,"Zeba, Waheed Murad, Tariq Aziz, Firdaus",1967
Iss Dharti Per,"Rosy, Haroon, Farida, Mirza, Khalil",1967
Jan Pehchan,"Shahpara, Mohammed Ali, Tarana, Shakir",1967
Kafir,"Rani, Sudhir, Talish, Aslam Pervaiz",1967
Lahu Pukare Ga,"Firdaus, Santosh, Aslam Pervaiz, K. Irani, Talish",1967
Lakhon Mein Aik,"Shamim Ara, Ejaz Durrani, Saqi, Mustafa Qureshi, Talish",1967
Maa Baap,"Zeba, Waheed Murad, Talat Siddiqui, Allaudin",1967
Main Bhi Insan Hon,"Attiya, Sujata, Mehmood, Shams Irani",1967
Main Woh Nahin,"Rukhsana, Kamal, Lehri, Diljit",1967
Mere Bache Meri Ankhen,"Deeba, Syed Kamal, Talat Siddiqi, Rashid",1967
Nadira,"Rani, Habib, Ejaz, Adeeb",1967
Phir Subah Ho Gi,"Deeba, Waheed Murad, Talat Siddiqi, Deeba, I. Yusuf",1967
Poonam ki Raat,"Rosy, Akbar, Khalil, Sadhana",1967
Rishta Hai Pyar Ka,"Zeba, Waheed Murad, Farida, Kamal Irani",1967
Sajda,"Deeba, Mohammed Ali, Zeenat, Saqi, Kumar",1967
Shab-ba-Khair,"Kamal, Rani, Komal, Ejaz, Adeeb",1967
Sham Sawera,"Neelo, Darpan, Sabira Sultana, Talish",1967
Shola Aur Shabnam,"Rukhsana, Sudhir, Darpan, Shamim Ara, Rukhsana",1967
Sitangar,"Sabiha, Darpan, Rani, Rukhsana, Yusuf",1967
Suhagan,"Zeba, Syed Kamal, Iqbal Yusuf, Aslam Pervaiz",1967
Ulfat,"Deeba, Habib, Saqi, Akhtar Abbas",1967
Uljhan,"Rosy, Khalil, Nasima Khan, Hasan Imam",1967
Ustadon ke Ustad,"Rozina, Fazlani, Samira, Nirala",1967
Waqt ki Pukar,"Zeba, Tahir, Kamal Irani, Ada",1967
Yatim,"Rani, Ejaz, Allaudin",1967
Zinda Laash,"Deeba, Nasreen, Habib, Rehan, Talish",1967
Adalat,"Zeba, Hyder, Rani, Rukhsana, Aslam Pervaiz",1968
Alif Laila,"Ghazala, Syed Kamal, Rozina, Aslam Pervaiz, Zeenat",1968
Ashiq,"Deeba, Kamal, Aaliya, Talish",1968
Aurat Aur Zamana,"Husna, Kamal, Talish, Shahnawaz",1968
Awaara,"Syed Kamal, Naghma, Nabila, Salma Mumtaz",1968
Baalam,"Zeba, Darpan, Aslam Pervaiz, Nazar",1968
Behan Bhai,"Nadeem, Deeba, Husna, Aslam Pervaiz, Ejaz, Kamal",1968
Beti Beta,"Firdaus, Ejaz, Rozina, Talish",1968
Chand Aur Chandni,"Shabana, Nadeem, Reshma, Dear Ashgar",1968
Chauda Saal,"Yusuf, Nabila, Sabira Sultana, Asif Jah",1968
Cheen Le Azadi,"Rani, Sudhir, Saloni, Adeeb",1968
Commander,"Sabiha, Santosh, Rani, Saiqa",1968
Dara,"Rani, Nasrullah Butt, Adeeb, Aaliya",1968
Dhoop Aur Saey,"Attiya Ashraf, Ali Ejaz, Qavi, Munnawer Taufiq",1968
Dil Diya Dard Liya,"Zeba, Mohammed Ali, Ghazala, M. Akhtar",1968
Dil Mera Dharkan Teri,"Shamim Ara, Rani, Waheed Murad, Lehri",1968
Do Bhai,"Saloni, Ejaz, Habib, Adeeb",1968
Doosri Maa,"Shamim Ara, Syed Kamal, Lehri, Rozina",1968
Doosri Shadi,"Saloni, Ejaz, Deeba, Nazar",1968
Eik Hi Rasta,"Rani, Sudhir, Talish, Salma Mumtaz",1968
Eik Musafir Eik Haseena,"Nayyar, Darpan, Lehri, Kamal, Saboohi",1968
Ghar Pyara Ghar,"Reshma, Kamal, Najma, Allaudin",1968
Gori,"Nasima Khan, Rahman, Akbar, Khalil",1968
Harfun Maula,"Sudhir, Firdaus, Yusuf Khan, Allaudin",1968
Ismet,"Ejaz, Husna, Zeba, Aslam Pervaiz, Ragni",1968
Jaan-e-Azro,"Shamim Ara, Waheed Murad, Aslam Pervaiz, Salma Mumtaz",1968
Jahan Baje Shehnai,"Suchanda, Rahman, Anwar, Arshad Imam",1968
Jahan Tum Wahan Hum,"Shabnam, Waheed Murad, Nirala, Badar Munir",1968
Janglee Phool,"Sultana Zaman, Khalil, Akbar, Suchanda",1968
Josh-e-Intiqam,"Deeba, Shakeel, Zamarrud, Nanna, Adeeb",1968
Jugnoo,"Sharmili Ahmed, Akbar, Dear Asghar, Jalil Afghani",1968
Karishma,"Neelo, Mohammed Ali, Nabila, Aslam Pervaiz",1968
Katari,"Zamarrud, Tariq Aziz, Ejaz, Mustafa Qureshi",1968
Khilona,"Shamim Ara, Kamal, Sofia Bano, Aslam Pervaiz",1968
Lalarukh,"Neelo, Mohammed Ali, Asad, Talish, Adeeb",1968
Mafroor,"Zeba, Sudhir, Nasira, Aslam Pervaiz, Talish",1968
Mahal,"Zeba, Mohammed Ali, Zamarrud, Aslam Pervaiz, Lehri",1968
Main Kahan Manzil Kahan,"Nadeem, Zamarrud, Ada, Ejaz",1968
Main Zinda Hoon,"Shabnam, Sudhir, Ejaz, Adeeb",1968
Manzil Door Nahin,"Hanif, Sofia Bano, Fozina, Sajjad",1968
Mera Ghar Meri Janat,"Shamin Ara, Mohammed Ali, Saqi, Rani",1968
Meri Dosti Mera Pyar,"M. Akhter, Rosy, Anarkali, Zahid, Saiqa",1968
Mujhe Jeene Do,"Zeba, Mohammed Ali, Zamarrud, Rangeela, Ajmal",1968
Nadir Khan,"Nayyar Sultana, Habib, Aslam Pervaiz, Rekha",1968
Nahreed,"Sabiha, Santosh, Deeba, Aslam Pervaiz, Farida",1968
Nakhuda,"Rukhsana, Shakeel, Zammurud, Ibrahim Nafees",1968
Paapi,"Bano, Shakeel, Sitara, Shahina",1968
Padosi,"Deeba, Nadeem, M. Ismail, Abbas Nausha",1968
Pakeezah,"Ejaz, Zeba, Mohammed Ali, Gulrukh",1968
Paristan,"Neelo, Mohammed Ali, Nazar, Asad, Zamarrud",1968
Quli,"Nadeem, Shabana, Sujata, Azim, Naina",1968
Saiqa,"Shamim Ara, Mohammed Ali, Talish, Darpan, Santosh, Zamarrud",1968
Samandar,"Shabnam, Waheed Murad, Hanif, Rozina, Rashid",1968
Sangdil,"Nadeem, Deeba, Masood Ahkter, Rozina",1968
Shahi Mahal,"Mohammed Ali, Firdaus, Aslam Pervaiz, Hamid Wyne",1968
Shareek-e-Hayat,"Shabnam, Kamal, Sabira Sultana, Lehri",1968
Shehanshah Jahangir,"Sabiha Khanum, Santosh Kumar, Ejaz Durrani, Saloni",1968
Shehnai,"Deeba, Syed Kamal, Lehri, Jaffery, Reshma",1968
Soeey Nadya Jage Pani,"Kabori Sarwar, Hasan Imam, Rosy, Jalil Afghani",1968
Sone ki Chidya,"Ghazala, Mohammed Ali, Ilyas, Sabira Sultana",1968
Taj Mahal,"Zeba, Mohammed Ali, Rehan, Talish, Aalyia",1968
Tum Mere Ho,"Shabnam, Nadeem, Sofia, Dear Asghar",1968
Wali Ehad,"Saloni, Habib, Saqi, Mazhar Shah",1968
Zalim,"Ejaz, Rani, Saloni, Adeeb",1968
Zindagi,"Ghazala, Shakeel, Tariq Aziz, Talish",1968
Aanch,"Shamim Ara, Mohammed Ali, Rehana, Aslam Pervaiz",1969
Aasra,"Shabnam, Mohammed Ali, Ratan Kumar, Nabila",1969
Anari,"Shabnam, Nadeem, J. Afghani, Naina",1969
Andaleeb,"Waheed Murad, Shabnam, Aaliya, Talish, Mustafa Qureshi",1969
Aneela,"Deeba, Nadeem, Rozina, Talish",1969
Assalam Alekum,"Rozina, Feroze, K. Irani, Nirala",1969
Baharen Pbirbhi Aingi,"Zeba, Mohammed Ali, Rozina, Lehri",1969
Bahu Rani,"Zeba, Mohammed Ali, Rehana Siddiqui, Lehri",1969
Buzdil,"Deeba, Habib, Ejaz Durrani, Sabira Sultana",1969
Chaudvin Saddi,"Deeba, Kamal, Ahmed Rushdi, Aslam Pervaiz, Allaudin",1969
CID,"Deeba, Sultan, Nasira, Saqi, Talish",1969
Daagh,"Shabnam, Nadeem, Jalil Afghani, M. Shahi",1969
Dard,"Deeba, Ejaz Durrani, Masood Akhtar, Zeenat",1969
Dastan,"Ratan Kumar, Ghazala, Shakil, Aaliya",1969
Dil Deke Dekho,"Deeba, Kamal, Jaffrey, Lehri, Nanna",1969
Dil-e-Baitab,"Shamim Ara, Mohammed Ali, Rani, Rangeela",1969
Diya Aur Toofan,"Naghma, Ejaz Durrani, Rani, Haider",1969
Door ki Awaz,"Deeba, Habib, Saqi, Ajmal",1969
Dr Shaitan,"Tarrana, Waris, Nasira, Jaffrey",1969
Eik Nagina,"Deeba, Waheed Murad, Aaliya, Lehri",1969
Fasana-e-dil,"Deeba, Nadeem, Nayyar, Darpan, Saiqa",1969
Geet Kahin Sangeet Kahin,"Nasima, Mohammed Ali, Adeeb, Rangeela",1969
Ghar Damad,"Kamal, Deeba, Tarannum, Nirala",1969
Ishara,"Deeba, Waheed Murad, Rozina, Talat Hussain",1969
Jaise Jante Nahin,"Zeba, Mohammed Ali, Rozina, Lehri",1969
Jina Bhi Munshkil,"Reshma, Anwera, Hasan Imam, Anwar",1969
Kangan,"Sangeeta, Rahman, Anwar, Nina",1969
Khoon Nahaq,"Rani, Sudhir, Aaliya, Zeenat",1969
Ladla,"Waheed Murad, Shabnam, Sabiha Khanum, Santosh, Rangeela",1969
Maa Beta,"Rani, Waheed Murad, Sabiha Khanum, Rangeela, Nanna",1969
Mehman,"Deeba, Kamal, Nabila, Aslam Pervaiz, Lehri",1969
Mere Arman Mere Sapne,"Sujata, Azim, Raj, Sultana Zaman",1969
Meri Bahabi,"Nayyar, Darpan, Zeenat, Saiqa",1969
Nai Laila Naya Manjnu,"Nasima Khan, Aaliya, Kamal, Lehri",1969
Naz,"Shabnam, Mohammed Ali, Zamarrud, Rangeela, Adeeb",1969
Nazneen,"Shabnam, Nadeem, Qavi, Rangeela",1969
Neela Parbat,"Husna, Mohammad Ali, Komal, Talish, Kamal Irani",1969
Pak Daman,"Sabiha Khanum, Santosh, Ejaz Durrani, Deeba",1969
Piya Milan ki Aas,"Husna, Mohammed Ali, Zamarud, Talish",1969
Piyasa,"Rahman, Suchanda, Azim, Anwera",1969
Pyar ki Jeet,"Rozina, Abid, Azad, Latif Charlie",1969
Qasam Uss Waqt Ki,"Shabnam, Tariq Aziz, Rosy, Rozina",1969
Salgira,"Shamim Ara, Waheed Murad, Tariq Aziz, Nirala",1969
Saza,"Rozina, Jamil, Nayyar, Darpan",1969
Shabistan,"Saloni, Sudhir, Rukhsana, Rehan",1969
Tum Milay Pyar Mila,"Zeba, Mohammed Ali, Iqbal Yusuf, Rangeela",1969
Tumhi Ho Mehboob Mere,"Deeba, Waheed Murad, Rozina, Qavi",1969
Zarqa,"Neelo, Ejaz Durrani, Talish, Allaudin, Saqi",1969
Zindagi Kitni Hasin He,"Zeba, Mohammed Ali, Rangeela, Ilyas",1969
Aakhri Chattan,"Rani, Nursallah, Adeeb, Tarana",1970
Aansoo Ban Gaey Moti,"Shamim Ara, Mohammad Ali, Nasima Khan, Adeeb",1970
Aashna,"Sumbul, Talat Hussain, Nanna, Salim",1970
Afsana,"Deeba, Rozina, Waheed Murad, Nanna",1970
Anjaan,"Zeba, Mohammad Ali, Rukhsana, Allaudin",1970
Anjuman,"Rani, Waheed Murad, Deeba, Sabiha Khanum, Santosh, Lehri",1970
Baazi,"Nadeem, Nisho, Mohammad Ali, Rehan, Qavi",1970
Bedari,"Saloni, Kamal, Lehri, Aaliya",1970
Bequsoor,"Deeba, Mohammad Ali, Masood Akhter, Zeenat",1970
Bewafa,"Shamim Ara, Waheed Murad, Rehana, Nabila, Mustafa Qureshi",1970
Chalo Maan Gayai,"Shabnam, Rahman, Jalil Afghani, Subhash Dutta",1970
Chand Suraj,"Nadeem, Waheed Murad, Shabana, Rozina, Nanna, Sangeeta",1970
Darinda,"Saloni, Sudhir, Rukhsana, Aaliya, Talish",1970
Eik Phool Eik Pathar,"Zeeba, Mohammad Ali, Talish, Aamir, Aatiya Ashraf",1970
Eik Zalim Eik Hasina,"Azim, Shamim Ara, Sultana Zaman, Mustafa",1970
Honeymoon,"Husna, Kamal, Rozina, Jaffery",1970
Hum Log,"Jugnoo, Waheed Murad, Zeenat, Nasira, Saqi",1970
Humjoli,"Nayyar Sultana, Darpan, Mustafa Quereshi, Saqi",1970
Insan Aur Aadmi,"Zeba, Mohammad Ali, Talat Hussain, Aasia",1970
Jale Na Kyun Parwana,"Shabnam, Nadeem, Kamal, Saiqa, Lehri",1970
Jhuk Gaya Aasman,"Tarannum, Modi, K. Irani, Nirala, Tarana",1970
Kauser,"Yasmin, Rukhsana, Habib, Allaudin",1970
Kirdaar,"Akter Aziz, Ghazala, Rozina, Tariq Aziz",1970
Love in Europe,"Rozina, Kamal, Tarana, Ibrahim Nafees",1970
Love in Jungle,"Aaliya, Azim, Adeeb, Nanna",1970
Maina,"Kabori Sarwar, Razzaq, Anwar Hossain, Siraj",1970
Mohabat Rang Laigi,"Zeba, Mohammad Ali, Lehri, Saqi, Saiqa",1970
Mr 420,"Iqbal Yusuf, Rani, Rozina, Nirala",1970
Najma,"Zeba, Mohammad Ali, Rozina, Aaliya, Tamanna",1970
Naseeb Apna Apna,"Shabnam, Waheed Murad, Nirala, Saqi",1970
Naya Savera,"Shabnam, Ejaz Durrani, Zamarrud, Adeeb",1970
Noreen,"Mohammad Ali, Zeba, Ghazala, Lehri, Sabira Sultana",1970
Paraee Beti,"Kamal, Rozina, Tariq Aziz, Tamanna",1970
Payal,"Shabana, Razzaq, Javed, Anis",1970
Phir Chand Nikle Ga,"Deeba, Waheed Murad, Rozina, Nirala",1970
Raja Rani,"Saloni, Jamal, Aaliya, Zahid, Faisal",1970
Rangeela,"Nisho, Aqeel, Saiqa, Rangeela, Salma Mumtaz, M. Zareef",1970
Reshman,"Saoloni, Sudhir, Asliya, Rangeela, Iqbal",1970
Road to Swat,"Syed Kamal, Nasima Khan, Aasia",1970
Saughat,"Rozina, Nadeem, Masood Akhtar, Zamarrud",1970
Shahi Faqir,"Ghazala, Masood Rana, Adeeb, Tarana",1970
Shama Aur Parwana,"Shabnam, Nadeem, Rani, Ejaz Durrani",1970
Shama Parwana,"Nazim, Anila, Ibrahim Nafees, Nirala",1970
Takht-o-Taj,"Saloni, Salim, Talish, Adeeb",1970
Ye Raste Hain Pyar Ke,"Ejaz, Saloni, Habib, Aaliya",1970
Aansoo,"Deeba, Nadeem, Shahid, Mahpara, Firdaus",1971
Afshan,"Shabnam, Waheed Murad, Aaliya, Lehri",1971
Al-Asifa,"Naghma, Sudhir, Talish, Salim Nasir",1971
Ansu Bahae Pathron Ne,"Zeba, Mohammed Ali, Jamal, Seemz, Talish",1971
Babul,"Sultan Rahi, Rani, Yusuf, Aaliya",1971
Chiragh Kahan Roshni Kahan,"Nadeem, Shabnam, Qavi, Sangeeta, Aasia",1971
Dil Aur Duniya,"Rangeela, Aasia, Habib, Sultan Rahi",1971
Do Baghi,"Rani, Kamal, Habib, Lehri, Ilyas",1971
Dosti,"Shabnam, Ejaz Durrani, Husna, Rahman, Saqi, Talish",1971
Duniya Na Mane,"Zeba, Mohammed Ali, Zamarrud, Lehri, Ragni",1971
Eik Sapera,"Aaliya, Iqbal Yusuf, Mahpara, Nirala, Saqi",1971
Garhasti,"Sabiha, Santosh, Sangeeta, Lehri, Aslam Pervaiz, Jamal",1971
Gharnata,"Yusuf, Rozina, Aasia, Jamil",1971
Insaaf Aur Qanoon,"Zeba, Mohammed Ali, Aslam Pervaiz, Wasim, Rizwan Wasti",1971
Jalte Soraj ke Neeche,"Nadeem, Babita, Rozina, Lehri, Allauddin",1971
Jane Bond 008 Operation Karachi,"Raza Fazli, Rakshanda, Tarana, Naggo, Ansari",1971
Khak Aur Khoon,"Shamim Ara, Mohammed Ali, Talish, Saqi",1971
Khamosh Nighahen,"Waheed Murad, Rozina, Husna, Tamanna",1971
Mehrban,"Shabana, Razzaq, Anwera, Sultana Zaman",1971
Mera Dil Meri Arzoo,"Deeba, Yusuf, Aaliya, Adeeb",1971
Mr 303,"Rani, Nasrullah, Tarana, Adeeb, Shakir",1971
Neend Hamari Khwab Tumhare,"Deeba, Waheed Murad, Aaliya, Talish, Nirala",1971
Parai Aag,"Shamim Ara, Nadeem, Zamarrud, Aasia",1971
Rim Jhim,"Waheed Murad, Rozina, Kamal Irani, Zamarrud",1971
Roop Behroop,"Kamal, Nisho, Zamarrud, Mehmood, Lehri",1971
Rootha Na Karo,"Shabnam, Kamal, Lehri, Talish, Mahpara",1971
Sakhi Lutera,"Rani, Nusrullah, Rangeela, Adeeb, Rehan",1971
Salaam-e-Mohabbat,"Zeba, Mohammad Ali, Sangeeta, Lehri",1971
Sucha Sauda,"Naghma, Rani, Kaifi, Inayat Bhatti, Razia",1971
Tehzeeb,"Rani, Shahid, Rangeela, Lehri, Aslam Pervaiz",1971
Teri Surat Meri Aankhen,"Zeba, Mohammed Ali, Masood Akhter, Saiqa",1971
Wehshi,"Mohammed Ali, Shamim Ara, Jamil, Aaliya",1971
Yaaden,"Zeba, Mohammed Ali, Zamarrud, Aasia, Nazim",1971
Yeh Aman,"Nisho, Sangeeta, Iqbal, Adeeb",1971
Aao Pyar Karen,"Deeba, Nadeem, Rangeela",1972
Afsana Zindagi Ka,"Zeba Ali, Mohammad Ali, Zeenat",1972
Akhri Hamla,"Shaista Qaisar, Kemal",1972
Angaray,"Shamim Ara, Nadeem, Nisho",1972
Azaadi,"Rani, Nasrullah Butt, Saqi",1972
Badguman,"Tarannum, Habib, Asad",1972
Badle Gi Duniya Saathi,"Zeba, Mohammad Ali, Iqbal Hassan",1972
Baharo Phool Barsao,"Rani, Waheed Murad, Sangeeta, Rukhsana, Munawar Zarif, Saiqa, Abbas Nosha, Kamal Irani, Tamanna, Rekha, Sheikh Iqbal, Changezi, Iqbal Durrani, Chakram, Ilyas Kashmiri and Aslam Pervaiz",1972
Bandagi,"Shabnum, Waheed Murad, Talish",1972
Bazaar,"Nisho, Imran Sangeeta",1972
Bhai Bhai,"Rani, Kemal, Yousuf, Naghma",1972
Dil Ek Aina,"Zeba, Mohammad Ali, Sangeeta",1972
Daulat Aur Duniya,"Rozina, Waheed Murad, Aaliya, Aslam Pervaiz",1972
Ehsaas,"Shabnam, Nadeem, Rangeela, Mumtaz, Qavi, Sufia Bano, Lehri, Ajmal, Jalil Afghani, Santosh Rissal, Talish",1972
Ek Raat,"Deeba, Shahid, Sabiha, Santosh, Aslam Pervez",1972
Farz Aur Mohabbat,"Nayyar Sultana, Sudhir",1972
Gata Jaye Banjara,"Zamurrad, Agha Sajjad",1972
Hill Station,"Shamim Ara, Waheed Murad",1972
Ilzam,"Zeba Ali, Mohammad Ali, Sangeeta, Shahid",1972
Jahan Baraf Girti Hai,"Yasmin Khan, Badar Munir",1972
Janwar,"Chakori, Badar Munir",1972
Khalish,"Rani, Waheed Murad, Allauddin",1972
Kon Apna Kon Paraya,"Tarana, Habib, Talish",1972
"Basheera""","Habib-ur-Rehman, Sultan Rahi, Rozina",1972
Main Akela,"Aasiya, Shahid, Asad",1972
Main Bhi To Insaan Hoon,"Aasiya, Rangeela, Shahid",1972
Mann Ki Jeet,"Shabnum, Nadeem, Ejaz, Sangeeta, Zarqa, Nanha, Farah Jalal, Qavi, Shahnawaz",1972
Mere Hamsafar,"Shabnam, Mohammad Ali, Aga Talish",1972
Meri Mohabbat Tere Hawale,"Deeba, Nazim, Aqeel",1972
Meri Zindagi Hai Naghma,"Sangeeta, Rangeela, Saiqa, Qavi, Chakram, Tamanna, Aslam Pervez",1972
Mohabbat,"Zeba, Mohammad Ali, Sabiha Khanum, Santosh, Andleeb, Rangeela, Saiqa, Roshan, Saqi, Qavi, Sahira, Niggo, Chham Chham, Pervez Sajjad, Ghayyur Akhtar, Begum Khurshid Mirza",1972
